,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1939,0.021363533,0.024346398,10.861344,211.0787624,371.4145274,0.666151311,72.20581963,9.439015874,76.87786174,65.31995153,216.4284834,211.2564289,142.5540802,114.9725658,22.60528816,26.33068345,89.76896263,1,0.931947647,0.944327049,92.77981548,90.24918455,1
1940,0.016625016,0.036500566,10.085602,220.9397195,369.4448487,0.659465186,71.82479517,8.884943696,77.98297003,66.22445285,221.5843715,221.1935688,146.7511696,118.4796453,21.43749743,25.35204624,90.26234088,1,0.945205944,0.933990072,92.84432928,90.7682135,0
1941,-0.01226124,0.03245137,1.163757,230.7564472,363.8121402,0.642306294,69.89614358,8.560258534,78.17830463,67.07829941,225.9352025,230.919878,150.7025443,121.9470949,20.1488072,24.31139844,86.92568984,0.820512693,0.940170898,0.939108163,92.49467664,91.11350612,0
1942,0.005788639,0.051824885,-1.745606,240.5855122,352.8662403,0.627169846,67.00794374,8.386217442,77.75366869,67.84082578,230.0194405,240.7399913,154.575238,125.4440102,18.94173479,23.23746571,87.16611583,0.881355733,0.900622809,0.92866655,92.14867626,91.32054015,0
1943,0.002162115,0.033678063,2.133453,250.3660876,332.4034986,0.6085303,63.21634865,10.28458991,72.01507868,68.1389867,233.7701176,250.5783798,158.3400351,128.9154688,17.7841266,22.14679789,87.26072223,0.906778944,0.869549123,0.90344761,91.85235808,91.42690374,0
1944,0.007888152,0.020202682,2.715332,260.2081746,271.5111785,0.926697555,61.07761892,9.784519136,72.38435248,68.44222712,237.3667763,260.499105,162.0513466,132.3765147,16.72821275,21.06308086,87.62106048,0.999999045,0.929377908,0.899849947,91.85739609,91.51300221,0
1945,-0.015838906,-0.01226124,-2.133453,260.6510367,272.4038338,0.803513705,58.03853956,9.297664366,72.38435248,68.7238075,240.2145211,260.9742927,165.5010761,135.7096576,15.56999228,19.96446314,82.58950854,0.780001169,0.895593053,0.898173361,91.35604707,91.48161118,0
1946,-0.013148529,-0.013148529,-7.758117,261.0680361,272.9361093,0.701284546,53.82324064,11.87160196,63.85834416,68.3762744,242.4585588,261.2943153,168.7232348,138.9927266,14.3746647,18.84650345,78.61189649,0.600000343,0.793333519,0.87276816,90.12243564,91.20977607,0
1947,0.003669687,-0.01526748,-2.521423,261.4074542,273.3402491,0.658880559,52.00356084,11.47024161,63.85834416,68.0535651,244.5812365,261.6337334,171.8715443,142.3081831,13.30262027,17.73772682,78.91565815,0.649999787,0.6766671,0.788531224,88.72911461,90.71364378,1
1948,0.002195342,-0.015234254,1.551605,261.7921281,273.6846285,0.640527232,49.76531925,11.79638662,61.67621915,67.59804039,246.5571684,261.9731514,174.9357075,145.6468579,12.32713173,16.6556078,79.10738581,0.632182003,0.627394044,0.699131554,87.34346788,90.0396086,1
1949,-0.001462952,-0.024585358,0.193969,262.4548029,273.5739174,0.63213276,48.19368505,11.27383376,62.08406208,67.2041848,248.3079755,262.6616867,177.886689,148.9772653,11.40893408,15.60627306,78.59430332,0.609195106,0.630458965,0.644840036,85.85925057,89.20353699,1
1950,-0.005137473,-0.013883924,-1.745514,263.0980831,273.1976063,0.594422857,46.11615785,10.73722068,62.2283813,66.84877026,249.7627405,263.1659668,180.6964044,152.2832427,10.51720296,14.58845904,76.71869223,0.5287375,0.590038203,0.615963738,84.02693051,88.1682157,0
